PERMNO,date,TICKER,DIVAMT,FACPR,PRC,RET,CFACPR,sprtrn
89393,20170228,NFLX,,,142.13000,-0.008925,1,-0.002578
89393,20170301,NFLX,,,142.64999,0.003659,1,0.013674
89393,20170302,NFLX,,,139.53000,-0.021872,1,-0.005860
89393,20170303,NFLX,,,139.14000,-0.002795,1,0.000504
89393,20170306,NFLX,,,141.94000,0.020124,1,-0.003277
89393,20170307,NFLX,,,141.42999,-0.003593,1,-0.002913
89393,20170308,NFLX,,,140.32001,-0.007848,1,-0.002284
89393,20170309,NFLX,,,140.53000,0.001497,1,0.000800
89393,20170310,NFLX,,,140.89000,0.002562,1,0.003269
89393,20170313,NFLX,,,143.52000,0.018667,1,0.000367
89393,20170314,NFLX,,,143.19000,-0.002299,1,-0.003379
89393,20170315,NFLX,,,145.25000,0.014386,1,0.008375
89393,20170316,NFLX,,,144.39000,-0.005921,1,-0.001627
89393,20170317,NFLX,,,145.11000,0.004987,1,-0.001314
89393,20170320,NFLX,,,145.83000,0.004962,1,-0.002010
89393,20170321,NFLX,,,142.42000,-0.023383,1,-0.012408
89393,20170322,NFLX,,,142.64999,0.001615,1,0.001890
89393,20170323,NFLX,,,141.84000,-0.005678,1,-0.001060
89393,20170324,NFLX,,,142.02000,0.001269,1,-0.000844
89393,20170327,NFLX,,,144.06000,0.014364,1,-0.001020
89393,20170328,NFLX,,,145.17000,0.007705,1,0.007251
89393,20170329,NFLX,,,146.47000,0.008955,1,0.001085
89393,20170330,NFLX,,,148.06000,0.010855,1,0.002935
89393,20170331,NFLX,,,147.81000,-0.001689,1,-0.002255
89393,20170403,NFLX,,,146.92000,-0.006021,1,-0.001642
89393,20170404,NFLX,,,145.50000,-0.009665,1,0.000560
89393,20170405,NFLX,,,143.62000,-0.012921,1,-0.003055
89393,20170406,NFLX,,,143.74001,0.000836,1,0.001929
89393,20170407,NFLX,,,143.11000,-0.004383,1,-0.000827
89393,20170410,NFLX,,,143.85001,0.005171,1,0.000688
89393,20170411,NFLX,,,144.35001,0.003476,1,-0.001434
89393,20170412,NFLX,,,143.83000,-0.003602,1,-0.003760
89393,20170413,NFLX,,,142.92000,-0.006327,1,-0.006815
89393,20170417,NFLX,,,147.25000,0.030297,1,0.008613
89393,20170418,NFLX,,,143.36000,-0.026418,1,-0.002903
89393,20170419,NFLX,,,139.75999,-0.025112,1,-0.001716
89393,20170420,NFLX,,,141.17999,0.010160,1,0.007557
89393,20170421,NFLX,,,142.87000,0.011971,1,-0.003035
89393,20170424,NFLX,,,143.83000,0.006719,1,0.010840
89393,20170425,NFLX,,,152.16000,0.057916,1,0.006091
89393,20170426,NFLX,,,150.17000,-0.013078,1,-0.000486
89393,20170427,NFLX,,,153.08000,0.019378,1,0.000553
89393,20170428,NFLX,,,152.20000,-0.005749,1,-0.001913
89393,20170501,NFLX,,,155.35001,0.020697,1,0.001732
89393,20170502,NFLX,,,156.45000,0.007081,1,0.001189
89393,20170503,NFLX,,,155.59000,-0.005497,1,-0.001271
89393,20170504,NFLX,,,157.25000,0.010669,1,0.000582
89393,20170505,NFLX,,,156.60001,-0.004134,1,0.004089
89393,20170508,NFLX,,,156.38000,-0.001405,1,0.000038
89393,20170509,NFLX,,,157.46001,0.006906,1,-0.001025
89393,20170510,NFLX,,,160.28000,0.017909,1,0.001131
89393,20170511,NFLX,,,158.53999,-0.010856,1,-0.002163
89393,20170512,NFLX,,,160.81000,0.014318,1,-0.001478
89393,20170515,NFLX,,,160.02000,-0.004913,1,0.004776
89393,20170516,NFLX,,,159.41000,-0.003812,1,-0.000687
89393,20170517,NFLX,,,153.20000,-0.038956,1,-0.018178
89393,20170518,NFLX,,,155.70000,0.016319,1,0.003687
